Price L No.,Item No.,Manufacturer,Model,KIND,TYPE,"Ga, Cal",BBL,choke,Q'ty,Price,Descriptions,Serial,Comment
P-2017 (3),1,Theoben,Eliminator,UARG,Gas　Spring,6.35 mm,,,1,"¥22,000",,ERFF-433,
P-2017 (3),2,Anschutz,M2002,UARG,Pre-charge,4.5 mm,,,1,"¥75,000",No Rear Sight,FPP097-2,
P-2017 (3),3,RWS,Rapier,UARG,Pre-Charge,5.5 mm,,,1,"¥15,000",Barrel Blue Come Off.,23987-EERF,
P-2017 (3),4,Theoben,Theoben Rabit Super,UARG,Pre-Charge,6.35m,24.25,,1,"¥41,000",,19987YH-D-,
P-2017 (3),5,BSA,Stutzen,UARP,Air,5.5 mm,14,,1,"¥12,000",,1853EDF-Q,
P-2017 (3),6,Feiwerkbau,300S Unibersal,UARP,Air,4.5 mm,,,1,"¥12,000",Rear sight missing.,ERKIHU-456,
P-2017 (3),7,Sheridan,,UARP,Pump,20,19.5,,1,"¥11,000",,IJU-YTD334,
P-2017 (3),8,Browning,BAR MKII,UR,Auto,7 mm Remington magnum,,,1,"¥35,000",,VCNZAS236-1,
P-2017 (3),9,Charchil,Model 98,UR,Bolt,308WIn,24,,1,"¥45,000",,3345987653,
P-2017 (3),10,H. Burgsmuller & Sohne,Kreifnsfn,UR,Bolt,308Winchester,,,1,"¥14,000",,CVI98739-11,
P-2017 (3),11,Pearce,Bighorn,UR,Bolt,3006,22,,1,"¥22,000",wicnhester 70 pushfeed,0POIJUH6-8,
P-2017 (3),12,Remington,Model Fourn,UR,Bolt,308Win,22,,1,"¥23,000",,WWOIIJD78,
P-2017 (3),13,Springfield,Model 1903,UR,Bolt,3006,24,,1,"¥22,000",Barrel Replaced,22OD09VJ-1,
P-2017 (3),14,Springfield,Model 1903,UR,Bolt,Unknown,24,,1,"¥11,000",,99OI9888-1,
